"ID","learnTime","time","acc","RT","log_RT"
"AmPm02a0","AM",1,0.0909090909090909,1760.2,7.47318271793971
"AmPm02a0","AM",2,0,NA,NA
"AmPm02a0","PM",1,0.181818181818182,1399.475,7.20280847152789
"AmPm02a0","PM",2,0.409090909090909,1707.0125,7.38692189930826
"AmPm0a0c","AM",1,0.409090909090909,1991.41111111111,7.35577826965356
"AmPm0a0c","AM",2,0.272727272727273,1155.03333333333,7.03671091273075
"AmPm0a0c","PM",1,0.375,1875.0125,7.33865443698742
"AmPm0a0c","PM",2,0.416666666666667,1141.7,7.02712424741609
"AmPm0a7c","AM",1,0.541666666666667,1562.76153846154,7.29135383299288
"AmPm0a7c","AM",2,0.416666666666667,1476.84,7.24972598364833
"AmPm0a7c","PM",1,0.208333333333333,2081.56,7.52688748875994
"AmPm0a7c","PM",2,0.5,1425.83333333333,7.17054512665795
"AmPm0cde","AM",1,0.416666666666667,1554.14,7.25642860749362
"AmPm0cde","AM",2,0.333333333333333,1085.8,6.98447811226921
"AmPm0cde","PM",1,0.208333333333333,2298.08,7.73096067986043
"AmPm0cde","PM",2,0.291666666666667,1243.5,7.09910348493451
"AmPm10e8","AM",1,0.363636363636364,1667.3625,7.23593129650332
"AmPm10e8","AM",2,0.363636363636364,1931.5625,7.49365716162239
"AmPm10e8","PM",1,0.333333333333333,1268.825,7.09181486207878
"AmPm10e8","PM",2,0.416666666666667,1637.25555555556,7.22137136784231
"AmPm181c","AM",1,0.458333333333333,3685.57272727273,7.89759857951499
"AmPm181c","AM",2,0.416666666666667,3145.76666666667,7.91546424933058
"AmPm181c","PM",1,0.125,1702.6,7.30139985125149
"AmPm181c","PM",2,0.458333333333333,2157.68181818182,7.48788334749039
"AmPm361c","AM",1,0.291666666666667,1944.55,7.39196512065383
"AmPm361c","AM",2,0.333333333333333,2113.3875,7.41711660306875
"AmPm361c","PM",1,0.5,2068.425,7.48671907984645
"AmPm361c","PM",2,0.666666666666667,1292.5125,7.10524105466933
"AmPm3d40","AM",1,0.125,3179.85,8.01622308508346
"AmPm3d40","AM",2,0,NA,NA
"AmPm3d40","PM",1,0.0416666666666667,1330.4,7.19323492787872
"AmPm3d40","PM",2,0,NA,NA
"AmPm420f","AM",1,0.583333333333333,1330.05714285714,7.05989228459238
"AmPm420f","AM",2,0.416666666666667,1408.64,7.12169534338673
"AmPm420f","PM",1,0.5,1795.98181818182,7.29504673641433
"AmPm420f","PM",2,0.5,1489.475,7.20534611383178
"AmPm46f8","AM",1,0.708333333333333,1685.34705882353,7.343329657108
"AmPm46f8","AM",2,0.583333333333333,1842.62142857143,7.35304001754743
"AmPm46f8","PM",1,0.416666666666667,1512.95,7.30181647763108
"AmPm46f8","PM",2,0.541666666666667,1542.37692307692,7.18943989245725
"AmPm504e","AM",1,0.166666666666667,2139.06666666667,7.56389736244701
"AmPm504e","AM",2,0.166666666666667,1674.06666666667,7.40940979250028
"AmPm504e","PM",1,0.166666666666667,1623.56666666667,7.38982307980199
"AmPm504e","PM",2,0.291666666666667,1550.48571428571,7.33779212694582
"AmPm57af","AM",1,0.291666666666667,1488.72857142857,7.2933385734332
"AmPm57af","AM",2,0.291666666666667,1666.64285714286,7.33053721023448
"AmPm57af","PM",1,0,NA,NA
"AmPm57af","PM",2,0.0416666666666667,896.7,6.798721357958
"AmPm5cd0","AM",1,0.25,3238.36,7.8547348200781
"AmPm5cd0","AM",2,0.208333333333333,2330.18,7.58390874650401
"AmPm5cd0","PM",1,0.25,1983.48333333333,7.56062896323421
"AmPm5cd0","PM",2,0.291666666666667,1678.5,7.31309051298487
"AmPm5de6","AM",1,0.583333333333333,1315.72307692308,7.12417492392502
"AmPm5de6","AM",2,0.541666666666667,1484.41538461538,7.15488292562691
"AmPm5de6","PM",1,0.590909090909091,1402.53333333333,7.18385055569485
"AmPm5de6","PM",2,0.772727272727273,1248.9375,7.00832778454264
"AmPm5fb0","AM",1,0.125,1531.43333333333,7.33168355156415
"AmPm5fb0","AM",2,0.0416666666666667,2198.8,7.69566703598651
"AmPm5fb0","PM",1,0.166666666666667,2303.16666666667,7.6020575817917
"AmPm5fb0","PM",2,0.5,1764.06363636364,7.3777415351053
"AmPm65f3","AM",1,0.333333333333333,2394.95,7.70615185726324
"AmPm65f3","AM",2,0.291666666666667,3215.04285714286,8.03998632578855
"AmPm65f3","PM",1,0.25,4066.51666666667,8.1564188477014
"AmPm65f3","PM",2,0.291666666666667,2049.05714285714,7.57956934624088
"AmPm68ca","AM",1,0.208333333333333,2098.18,7.51943773070174
