ID,learnTime,time,mean_acc,mean_RT,mean_logRT
AmPm02a0,AM,1,0.09090909090909091,1760.2,7.473182717939712
AmPm02a0,AM,2,0,NA,NA
AmPm02a0,PM,1,0.18181818181818182,1399.475,7.20280847152789
AmPm02a0,PM,2,0.4090909090909091,1707.0125,7.386921899308263
AmPm0a0c,AM,1,0.4090909090909091,1991.411111111111,7.355778269653563
AmPm0a0c,AM,2,0.2727272727272727,1155.0333333333333,7.0367109127307534
AmPm0a0c,PM,1,0.375,1875.0125,7.338654436987425
AmPm0a0c,PM,2,0.4166666666666667,1141.7,7.027124247416089
AmPm0a7c,AM,1,0.5416666666666666,1562.7615384615385,7.291353832992882
AmPm0a7c,AM,2,0.4166666666666667,1476.84,7.249725983648327
AmPm0a7c,PM,1,0.20833333333333334,2081.56,7.526887488759937
AmPm0a7c,PM,2,0.5,1425.8333333333333,7.170545126657953
AmPm0cde,AM,1,0.4166666666666667,1554.14,7.256428607493617
AmPm0cde,AM,2,0.3333333333333333,1085.8,6.984478112269208
AmPm0cde,PM,1,0.20833333333333334,2298.08,7.730960679860434
AmPm0cde,PM,2,0.2916666666666667,1243.5,7.099103484934513
AmPm10e8,AM,1,0.36363636363636365,1667.3625,7.235931296503317
AmPm10e8,AM,2,0.36363636363636365,1931.5625,7.493657161622387
AmPm10e8,PM,1,0.3333333333333333,1268.825,7.0918148620787775
AmPm10e8,PM,2,0.4166666666666667,1637.2555555555555,7.221371367842311
AmPm181c,AM,1,0.4583333333333333,3685.572727272727,7.897598579514993
AmPm181c,AM,2,0.4166666666666667,3145.7666666666664,7.915464249330584
AmPm181c,PM,1,0.125,1702.6,7.301399851251487
AmPm181c,PM,2,0.4583333333333333,2157.681818181818,7.48788334749039
AmPm361c,AM,1,0.2916666666666667,1944.5500000000002,7.391965120653834
AmPm361c,AM,2,0.3333333333333333,2113.3875,7.417116603068746
AmPm361c,PM,1,0.5,2068.425,7.486719079846454
AmPm361c,PM,2,0.6666666666666666,1292.5125,7.105241054669334
AmPm3d40,AM,1,0.125,3179.85,8.01622308508346
AmPm3d40,AM,2,0,NA,NA
AmPm3d40,PM,1,0.041666666666666664,1330.4,7.193234927878718
AmPm3d40,PM,2,0,NA,NA
AmPm420f,AM,1,0.5833333333333334,1330.057142857143,7.05989228459238
AmPm420f,AM,2,0.4166666666666667,1408.64,7.121695343386733
AmPm420f,PM,1,0.5,1795.9818181818182,7.295046736414325
AmPm420f,PM,2,0.5,1489.475,7.205346113831784
AmPm46f8,AM,1,0.7083333333333334,1685.3470588235293,7.343329657107998
AmPm46f8,AM,2,0.5833333333333334,1842.6214285714286,7.353040017547434
AmPm46f8,PM,1,0.4166666666666667,1512.95,7.301816477631083
AmPm46f8,PM,2,0.5416666666666666,1542.376923076923,7.1894398924572505
AmPm504e,AM,1,0.16666666666666666,2139.0666666666666,7.563897362447011
AmPm504e,AM,2,0.16666666666666666,1674.0666666666666,7.4094097925002815
AmPm504e,PM,1,0.16666666666666666,1623.5666666666666,7.389823079801989
AmPm504e,PM,2,0.2916666666666667,1550.4857142857143,7.3377921269458195
AmPm57af,AM,1,0.2916666666666667,1488.7285714285715,7.2933385734332
AmPm57af,AM,2,0.2916666666666667,1666.642857142857,7.3305372102344775
AmPm57af,PM,1,0,NA,NA
AmPm57af,PM,2,0.041666666666666664,896.7,6.7987213579580015
AmPm5cd0,AM,1,0.25,3238.36,7.854734820078097
AmPm5cd0,AM,2,0.20833333333333334,2330.1800000000003,7.583908746504012
AmPm5cd0,PM,1,0.25,1983.4833333333333,7.560628963234207
AmPm5cd0,PM,2,0.2916666666666667,1678.5,7.313090512984871
AmPm5de6,AM,1,0.5833333333333334,1315.7230769230769,7.124174923925021
AmPm5de6,AM,2,0.5416666666666666,1484.4153846153845,7.154882925626908
AmPm5de6,PM,1,0.5909090909090909,1402.5333333333333,7.183850555694847
AmPm5de6,PM,2,0.7727272727272727,1248.9375,7.008327784542644
AmPm5fb0,AM,1,0.125,1531.4333333333334,7.331683551564149
AmPm5fb0,AM,2,0.041666666666666664,2198.8,7.695667035986506
AmPm5fb0,PM,1,0.16666666666666666,2303.1666666666665,7.602057581791695
AmPm5fb0,PM,2,0.5,1764.0636363636363,7.377741535105301
AmPm65f3,AM,1,0.3333333333333333,2394.95,7.706151857263243
AmPm65f3,AM,2,0.2916666666666667,3215.042857142857,8.039986325788554
AmPm65f3,PM,1,0.25,4066.516666666667,8.156418847701396
AmPm65f3,PM,2,0.2916666666666667,2049.057142857143,7.579569346240876
AmPm68ca,AM,1,0.20833333333333334,2098.18,7.519437730701736
AmPm68ca,AM,2,0.3333333333333333,1999.0375000000001,7.442541936178161
